1440 [0.8083763023912907, 0.8867]
1445 [0.8344432843330316, 0.8838]
1450 [0.7767830028916709, 0.8884]
1455 [0.8128625239476561, 0.885]
1460 [0.8802468348950148, 0.8781]
1465 [0.8412313917244785, 0.883]
1470 [0.8329769560068846, 0.8858]
1475 [0.8677636918872594, 0.881]
1480 [0.8227944074507803, 0.8862]
1485 [0.8124071160972118, 0.8848]
1490 [0.8421006018936634, 0.8828]
1495 [0.793447620036453, 0.8881]
1500 [0.8117958392620087, 0.8874]
1505 [0.8312427546376362, 0.8859]
1510 [0.8268218832462094, 0.8863]
1515 [0.8132501594495029, 0.8863]
1520 [0.8129207354664802, 0.8891]
1525 [0.8407300078302622, 0.8832]
1530 [0.8300162279635668, 0.8852]
1535 [0.8512701653003693, 0.8814]
1540 [0.8480199246026575, 0.8844]
1545 [0.8949056586533785, 0.8791]
1550 [0.8458584509288892, 0.8863]
1555 [0.8396155637770891, 0.8859]
1560 [0.9205080518960953, 0.875]
1565 [0.8853560961667448, 0.8822]
1570 [0.8538002295330167, 0.8869]
1575 [0.8426821694388985, 0.8854]
1580 [0.849799986422807, 0.8897]
1585 [0.8459370502486825, 0.8863]
1590 [0.9120906501151621, 0.8771]
1595 [0.888658173884172, 0.8835]
1600 [0.8562985970377922, 0.8848]
1605 [0.8343038993334397, 0.8875]
1610 [0.8857705548666418, 0.8795]
1615 [0.8431515526970849, 0.8829]
1620 [0.8691080817057751, 0.886]
1625 [0.869059141413914, 0.8844]
1630 [0.8566792838044465, 0.8849]
1635 [0.8754582137959543, 0.8808]
1640 [0.8610683450996875, 0.8863]
1645 [0.853474883974716, 0.8814]
1650 [0.8814153277814388, 0.8803]
1655 [0.8923551479879767, 0.8832]
1660 [0.8471978617873043, 0.8852]
1665 [0.8599431572251953, 0.8841]
1670 [0.8612868221733719, 0.8876]
1675 [0.8228941172685474, 0.8885]
1680 [0.8726263926451094, 0.8876]
1685 [0.8364069205626845, 0.8914]
1690 [0.8654423785202205, 0.882]
1695 [0.8729968961108476, 0.8863]
1700 [0.8576714215891261, 0.8896]
1705 [0.8262843208487378, 0.8885]
1710 [0.8553966645862907, 0.8889]
1715 [0.8917223251808435, 0.8874]
1720 [0.8643532767597586, 0.8865]
1725 [0.8572840218666941, 0.8855]
1730 [0.8691162213418168, 0.8854]
1735 [0.8736377732886002, 0.8887]
1740 [0.9044187535351143, 0.8802]
1745 [0.8979829016488046, 0.8889]
1750 [0.8984876103537157, 0.8881]
1755 [0.9304833707158919, 0.8838]
1760 [0.9154265976294875, 0.8841]
1765 [0.9098477490428836, 0.8809]
1770 [0.8875649798040278, 0.8873]
1775 [0.8877411488762358, 0.8889]
1780 [0.8609103069027769, 0.8873]
1785 [0.9177691567904549, 0.8822]
1790 [0.9613065770410467, 0.8817]
1795 [0.9338257740139961, 0.8854]
1800 [0.9229010413270443, 0.882]
1805 [0.8808332666365429, 0.8851]
1810 [0.9401420849144458, 0.883]
1815 [0.9253397150506265, 0.8856]
1820 [0.9060495290353894, 0.8848]
1825 [0.9101203083865345, 0.8873]
1830 [0.9005080551028252, 0.8906]
1835 [0.8759799246937037, 0.8897]
1840 [0.9098929690256715, 0.883]
1845 [0.9037226675946265, 0.888]
1850 [0.9167617306388449, 0.8874]
1855 [0.8897216461017727, 0.8905]
1860 [0.8866539673913503, 0.8876]
1865 [0.8847985156167298, 0.8888]
1870 [0.9251803437080234, 0.8804]
1875 [0.9142251050331747, 0.8875]
1880 [0.9929505410190672, 0.8802]
1885 [0.9032621101217344, 0.889]
1890 [0.9439171248066239, 0.8827]
1895 [0.9048765423011268, 0.8861]
1900 [0.9414279348953627, 0.8867]
1905 [0.9100065126945148, 0.8878]
1910 [0.9090729393340647, 0.8906]
1915 [0.9515968962552491, 0.8859]
1920 [0.9816348195634782, 0.8819]
1925 [0.8903964570954442, 0.8871]
1930 [0.9601450410947203, 0.883]
1935 [0.9082998954156006, 0.886]
1940 [0.948674389080517, 0.8877]
1945 [0.9494363901067525, 0.8878]
1950 [0.9979586481787265, 0.8787]
1955 [0.9239828887254, 0.8864]
1960 [0.9390873499363661, 0.8856]
1965 [0.981807219094038, 0.8857]
1970 [0.9123289161324502, 0.8886]
1975 [0.9281309353319928, 0.8881]
1980 [0.9691279444620013, 0.8832]
1985 [0.9882387078464031, 0.8804]
1990 [0.9658957614496351, 0.8836]
1995 [0.9473058509301394, 0.8876]
2000 [0.9717702663525939, 0.8839]
